Product Name,Category,Original Price (₹),Discounted Price (₹),Discount Amount (₹),Discount (%),Rating,Star Product
Portronics Konnect L POR-1403 Fast Charging 3A Type-C Cable 1.2 Meter with Charge & Sync Function for All Type-C Devices (White),Computers&Accessories,399.0,210.0,189.0,47.368421052631575,4.1,False
Electvision Remote Control Compatible with Amazon Fire tv Stick (Pairing Manual Will be Back Side Remote Control)(P),Electronics,1999.0,1299.0,700.0,35.01750875437719,3.6,False
"King Shine Multi Retractable 3.0A Fast Charger Cord, Multiple Charging Cable 4Ft/1.2m 3-in-1 USB Charge Cord Compatible with Phone/Type C/Micro USB for All Android and iOS Smartphones (Random Colour)",Computers&Accessories,999.0,347.0,652.0,65.26526526526526,3.5,False
"Lapster 5 pin mini usb cable, usb b cable,camera cable usb2.0 for External HDDS/Card Readers/Camera etc.",Computers&Accessories,999.0,149.0,850.0,85.08508508508508,4.0,False
"Portronics Konnect Spydr 31 3-in-1 Multi Functional Cable with 3.0A Output, Tangle Resistant, 1.2M Length, Nylon Braided(Zebra)",Computers&Accessories,899.0,228.0,671.0,74.6384872080089,3.8,False
"Belkin Apple Certified Lightning To Type C Cable, Tough Unbreakable Braided Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)    White",Computers&Accessories,1999.0,1599.0,400.0,20.01000500250125,4.4,False
Remote Control Compatible for Amazon Fire Tv Stick Remote Control [ 3rd Gen ](Not Compatible for Fire TV Edition Smart TV) from basesailor,Electronics,3999.0,1499.0,2500.0,62.515628907226805,3.7,False
VW 80 cm (32 inches) Playwall Frameless Series HD Ready Android Smart LED TV VW3251 (Black),Electronics,15999.0,8499.0,7500.0,46.87792987061691,4.3,False
Hisense 108 cm (43 inches) 4K Ultra HD Smart Certified Android LED TV 43A6GE (Black),Electronics,44990.0,20990.0,24000.0,53.34518781951545,4.1,False
Redmi 126 cm (50 inches) 4K Ultra HD Android Smart LED TV X50 | L50M6-RA (Black),Electronics,44999.0,32999.0,12000.0,26.66725927242828,4.2,False
AmazonBasics 6-Feet DisplayPort (not USB port) to HDMI Cable Black,Electronics,1700.0,799.0,901.0,53.0,4.1,False
AmazonBasics 3 Feet High Speed HDMI Male to Female 2.0 Extension Cable,Electronics,595.0,229.0,366.0,61.51260504201681,4.3,False
iFFALCON 80 cm (32 inches) HD Ready Smart LED TVÂ 32F53 (Black),Electronics,27990.0,9999.0,17991.0,64.27652733118971,4.2,False
7SEVENÂ® Compatible Lg Smart Tv Remote Suitable for Any LG LED OLED LCD UHD Plasma Android Television and AKB75095303 replacement of Original Lg Tv Remote Control,Electronics,599.0,349.0,250.0,41.736227045075125,4.2,False
"AmazonBasics 3.5mm to 2-Male RCA Adapter Cable For Tablet, Smartphone (Black, 15 feet)",Electronics,1200.0,489.0,711.0,59.25,4.4,False
